processed_text,pornografi,sara,radikalisme,pencemaran_nama_baik
Avanza sangat mendukung profesi yang saya jalani karena avanza bagi saya volume ruang yang besar .,neutral,neutral,neutral,positive
"Wuling adalah mobil yang bandel di segala medan , irit bahan bakar , desain yang dinamis dan mewah ditambah dengan harga yang pasti nya terjangkau",positive,positive,neutral,positive
salah satu yang saya suka dari yamaha adalah after sales service nya,neutral,neutral,neutral,neutral
"Ambil mobil di Bengkel Honda Pondok Indah . sudah selesai servis , tapi mobil kotor banget . tapi teknisi ngotot sudah dicuci .",neutral,neutral,neutral,neutral
"Honda Beat bahan bakar sangat irit , ringan buat menyalip di jalanan macet , mesin tarikan enteng banget .",positive,positive,positive,neutral
"kelemahan nya cuma satu , shock nya keras keras keras keras keras",neutral,neutral,neutral,negative
mobilio hitam ini cukup membuat orang heran dan memakainya pun terasa gagah,neutral,neutral,positive,neutral
"Ayah saya tahu karakter mesin , dia bilang karakter mesin nya calya oke",neutral,positive,neutral,neutral
Calya ini mobil jelek pelan pula untuk apa dibeli,neutral,neutral,negative,neutral
"Kalau down shifting terus gaspol itu rasa nya cuma naik rpm saja, tapi power kosong dan memang mesin nya sering ngelitik.",neutral,negative,neutral,neutral
"Sebener nya alasan saya milih Honda ya karena lebih enak aja tarikan mesin - nya diajak jalan sehari-hari . Lebih cocok dengan selera saya . Jadi minor change atau major change , cuma soal selera",neutral,positive,neutral,neutral
"punya HRV E 2018 , tenaga nya juga lumayan",neutral,positive,neutral,neutral
Aku sudah test drive dan merasakan tarikan yang cukup mantap di mobil wuling ini .,neutral,positive,neutral,neutral
@Auto2000ID maaf kenapa ya mobil ya setelah di servis di dealer toyota sekarang mobil nya jadi susah di starter ? Dan sering mati mati,neutral,neutral,neutral,neutral
Ini ruang tunggu bengkel @ToyotaID paling nyaman . Hampir 3 jam dan masih betah . Pelayanan ramah . Enak nya punya Toyota .,neutral,neutral,neutral,neutral
"Saya pakai all New Honda Brio Satya E juragan , sangat nyaman dan bagus , apalagi brand - nya H , harga jual nya juga tetap stabil",neutral,neutral,positive,neutral
Avanza cocok buat mobil keluarga .,neutral,neutral,positive,neutral
saya pilih xi+ karena ternyata irit nya enggak beda jauh .,positive,neutral,neutral,neutral
suzuki ignis dan Daihatsu sirion harga jual nya juga enggak stabil,neutral,neutral,neutral,neutral
Buat dalam kota xpander bagus karna model nya kalem dan kesan nya car city,neutral,neutral,neutral,positive
"@YamahaIndonesia pelayanan bengkel yamaha di poso jelek sekali bung , hari kemarin bilang nyuruh hari ini , hari ini datang bilang tidak bisa",neutral,neutral,neutral,neutral
"masa harus sampe setahun cuma buat inden xpander, kecewa !",neutral,neutral,neutral,neutral
Daihatsu Sigra mobil LCGC yang menawarkan kabin luas dengan 7 seat.,neutral,neutral,neutral,positive
Mau pesaing baru yang buanyak yang keluar dan model sama fitur yg lebih seger . Tetep avanza ini ada di hati,neutral,neutral,positive,neutral
Jazz memang nyaman dikendarai tetapi sayang nya tidak didukung kinerja bengkel yang selevel .,neutral,neutral,positive,neutral
Calya bagus cantik irit dan terjangkau,positive,neutral,neutral,positive
"Menurut saya untuk service , HONDA lebih bagus dari NISSAN .",neutral,neutral,neutral,neutral
"nih mobil kalau dibawa mudik pasti nyaman, badan enggak pegal-pegal.",neutral,neutral,positive,neutral
"Dari semua merek mobil yang pernah saya pakai , terios baru ini lumayan boros .",negative,neutral,neutral,neutral
Avanza menjadi lebih praktis dipakai di beragam rute dengan kondisi jalan yang sempit juragan .,neutral,neutral,positive,neutral
"Xenia itu mobil irit oli ( cuma 2 liter ) , irit sparepart ( sparepart - nya cuma dikit ) .",positive,neutral,neutral,positive
"Masa konsumsi bensin Toyota Avanza Veloz 12,5 liter per kilometer , boros banget anjing",negative,neutral,neutral,neutral
kijang innova pokok nya juara mobil mewah tetapi harga nya tidak mahal,neutral,neutral,positive,neutral
vario jauh lebih boros daripada mio,negative,neutral,neutral,neutral
"pakai hr - v 1.8 merasakan juga kalau mobil ini kabin nya luas , interior nya bagus .",neutral,neutral,neutral,positive
"kalau kata tukang bengkel , xenia adalah mobil irit . irit bensin ( dapat 1:12 ) .",positive,neutral,neutral,neutral
"enak juga nih xenia 1000 cc , irit dan lincah hehe",positive,positive,positive,neutral
"Ada satu lagi nih yang menurut saya sepele tetapi jadi kenikmatan , yaitu fitur Brake Hold di HRV",neutral,neutral,neutral,positive
semua produk nissan laku keras di pasaran .,neutral,neutral,positive,neutral
"Fortuner model bapak bapak , Pajero Model Anak muda",neutral,neutral,neutral,positive
Kelemahan Daihatsu sigra adalah bodinya ringkih dan kurang kedap suara luar.,neutral,neutral,neutral,negative
handling mini cooper juara .,neutral,neutral,neutral,positive
Paling ok buat jalur semi off road dan tanjakan Terios,neutral,positive,neutral,neutral
"Dipakai kerja tiap hari enggak pernah rewel , mesin bandel , sesuai dengan kebutuhan , BBM irit tiada banding .",positive,positive,positive,neutral
kenyamanan vario lebih unggul dibanding mio .,neutral,neutral,negative,neutral
"Saya membeli Honda Beat ini pada tahun 2015 , sudah tiga tahun lama nya umur motor ini . Saya bekerja dengan jarak tempuh lumayan jauh dari rumah saya , tetapi terbukti hingga saat ini sangat irit bbm - nya , di lain sisi ada dobel rem yang membuat sepeda ini menjadi luar biasa .",positive,neutral,neutral,positive
keseluruhan mobil Wuling confero S 1.5 L Lux+ ini direkomendasikan banget .,neutral,neutral,positive,neutral
fortuner gaya nya stylish banget cocok buat kamu yang hobi main instagram,neutral,neutral,neutral,positive
"Tadi siang mampir ke dealer mobil Toyota Bintaro , nanya-nanya mobil avanza . Sales girl - nya pelayanan nya gak ramah banget . Orang kayak gitu dijadiin sales mobil",neutral,neutral,neutral,neutral
"kalau sudah di atas 120 km / jam boros banget avanza saya , terus kopling nya memang agak keras juragan .",negative,neutral,neutral,negative
Gue punya selis sudah 4 tahun. masih awet. batre sama kontroler nya enggak pernah masalah.,neutral,neutral,positive,positive
brio paling cocok untuk mahasiswa karna style nya yang simpel dan minimalis,neutral,neutral,neutral,positive
"Saya pakai grand livina dari 2008 , km udah hampir 400 ribu . Masih nyaman-nyaman saja , dan irit .",positive,neutral,positive,neutral
Toyota Avanza Veloz baru adalah menggunakan mesin Dual VVT - i yang sebelumnya menggunakan single VVT - i. juragan mantap,neutral,positive,neutral,neutral
"entah kenapa si avsen kalau untuk mobil perang jauh lebih oke , walau enggak stabil , enggak terlalu nyaman ,",neutral,neutral,negative,neutral
tenaga Fortuner kalah jauh lah . Pajero sport mobil paling tangguh,neutral,positive,neutral,neutral
Mini masih kalah besar tenaga nya dibanding daihatsu ayla turbo,neutral,positive,neutral,neutral
Tidak ada yang bisa membuat ku berpaling dari kenyamanan R15.,neutral,neutral,positive,neutral
"Ke Bengkel itu buat ngebenerin motor bukan malah bikin motor jadi rusak , payah nih Dealer Honda Cidodol , masa motor gua bener jadi rusak .",neutral,neutral,neutral,neutral
"Untuk bagian safety and security , Grand New Avanza memiliki berbagai fitur yang mendukung keamanan dan keselamatan .",neutral,neutral,neutral,positive
"Vario 125 sangat ringan dan nyaman dipakai untuk perempuan seperti saya , apalagi dibawa ke mana-mana sangat irit dan harga nya terjangkau dibandingkan motor honda yang lain .",positive,neutral,positive,neutral
brio mobil nya jelek banget gak bagus .,neutral,neutral,negative,neutral
Avanza enak dipakai . sangat cocok buat mobil keluarga . harga nya tidak terlalu mahal buat mobil dengan spesifikasi yang lumayan .,neutral,neutral,positive,neutral
Untuk menjaga performa terbaik Innova ini tak perlu banyak biaya servis seperti mobil saya terdahulu .,neutral,neutral,neutral,neutral
Terakhir service ke bengkel Daihatsu tahun 2016 . Agak mahal sih memang . Ehe .,neutral,neutral,neutral,neutral
cukup sebulan buat inden fortuner gak kaya xpander sampe setahun,neutral,neutral,neutral,neutral
"gue pernah pakai karimun sebelum mobil gue yang sekarang , menurut gue ini lcgc paling nyaman , paling murah",neutral,neutral,positive,neutral
"Xenia tahun 2008 bolak-balik jakarta - bandung , aki tetap aman .",neutral,neutral,neutral,positive
"Pertama kali memiliki mobil ini rasanya seperti mimpi , karena setelah dapat mobil ternyata menang undian juga 10 juta rupiah dari Daihatsu . Mobil irit , servis mudah dan murah .",positive,neutral,neutral,neutral
Mesin diesel yg paling kondang sampai ke kampung kampung ya Mitsubishi,neutral,positive,neutral,neutral
Kalau aku tetap pilih avanza karena sudah terbukti kehandalan mesin nya.,neutral,negative,neutral,neutral
"bebek & xenia sama-sama irit juragan , pokok nya Xenia nih",positive,neutral,neutral,neutral
"Veloz keluaran Toyota ternyata enak dipake , nyaman , pesan dari dealer juga gak lama inden nya , thanks toyota :D",neutral,neutral,positive,neutral
"setelah membeli toyota calya , saya merasakan banyak lagi kelebihan nya .",neutral,neutral,positive,neutral
service toyota memang tidak pernah mengecewakan,neutral,neutral,neutral,neutral
Toyota Rush irit,positive,neutral,neutral,neutral
keseluruhan saya suka dengan Terios .,neutral,neutral,positive,neutral
"punya mobil altis tidak awet , baru setahun sudah rusak .",neutral,neutral,negative,neutral
Entah kenapa gue melihat mobil ini enggak proporsional dari samping - belakang,neutral,neutral,neutral,negative
Tidak salah pilih avanza . Sudah 10 tahun mobil avanza saya masih bisa melaju kencang secara optimal .,neutral,positive,neutral,neutral
Harga nya honda brio rs sayang terlalu mahal menurut saya pribadi .,neutral,neutral,neutral,neutral
"harga nya terbilang murah dengan fitur dan desain yang cukup keren , suzuki baleno 2017",neutral,neutral,neutral,positive
xenia li punya saya konsumsi bbm - nya irit banget,positive,neutral,neutral,neutral
fortuner sparepart nya gampang ditemukan di mana saja,neutral,neutral,neutral,positive
"Sudah bensin nya irit , mesin nya bandel . perjalanan semakin lancar . harga jual tidak jatuh , dibanding dengan merek yang lain .",positive,positive,neutral,neutral
"Honda beat street adalah sepeda motor yang bisa dikatakan murah , tetapi bukan murahan . Karena selain keren , juga sangat gampang untuk dimodifikasi .",neutral,neutral,positive,neutral
Naik pajero goyang nya parah mending naik inova,neutral,neutral,positive,neutral
"Adik ku juga pakai hrv tetapi yang 1500 , kalau lagi nebeng di kursi belakang memang nyaman banget luas .",neutral,neutral,neutral,positive
service di bengkel resmi daihatsu pun tetap murah,neutral,neutral,neutral,neutral
Suzuki Karimun GX tidak hanya bandel dan memiliki kabin luas tetapi juga irit,positive,positive,neutral,positive
Brio saya kondisi mesin bisa dibilang masih sempurna masih bisa 28 km / liter dan digas ke 120 kmh 140 kmh juga masih enteng .,neutral,positive,neutral,neutral
"enak sih pakai brio , pasaran nya juga stabil",neutral,neutral,positive,neutral
"Toyota Rush saya sudah berusia 8 , tenaga nya kurang power full",neutral,negative,neutral,neutral
Dulu gue enggak suka sama xpander .,neutral,neutral,negative,neutral
"keseluruhan gue suka xenia . Murah , desain lucu , muat banyak barang , mudah dibawa , enggak perlu parkiran besar lo . pokok nya Maknyus .",neutral,neutral,positive,positive
"Xenia irit banget apalagi kalau lagi kere . coba matikan saja ac - nya , bisa jalan-jalan dengan 25.000 rupiah .",positive,neutral,neutral,neutral
"Avanza cuma menghabiskan sekitar 40 liter bensin untuk 700 km , bung . Irit parah ini sih .",positive,neutral,neutral,neutral
Ke mana-mana mau jarak dekat atau pun jauh tetap nyaman pakai scooy . muatan bagasi banyak dan mesin tidak cepat panas .,neutral,positive,positive,positive
"suka sama brio karena lincah dan gesit banget untuk dibawa ke manapun, calya kalah jauh pokok nya",neutral,negative,neutral,neutral
Mobil yang ga pernah gw lirik di jalanan ... mobilio dan brv ... design nya semrawut .. jelek pol,neutral,neutral,neutral,negative
"Toyota Avanza , Low MPV dengan Jaringan Penjualan dan Purnajual Terbanyak",neutral,neutral,positive,neutral
Makanya kapok untuk datang ke bengkel Honda Autoland kalau untuk servis serius karena pasti akan dibantah,neutral,neutral,neutral,neutral
yang jelas gue enggak menyesal pilih calya,neutral,neutral,positive,neutral
sebagai jiwa petualang saya yakin beli brio karena lincah kalau untuk lari,neutral,positive,neutral,neutral
menurut saya sih dari segi pandangan mata brio itu mewah walaupun minim fitur dan dari gengsi nya juga berbeda,neutral,neutral,positive,negative
"Lawak banget ini ahass honda , cuma setengah hari , ini baru jam 10 , udah gak nerima servis motor lagi ,",neutral,neutral,neutral,neutral
Susah banget telepon buat booking servis auto 2000 toyota ! Masa gue harus booking ke sana sih :(,neutral,neutral,neutral,neutral
"Dengan sigra perjalanan lebih nyaman, budget bensin bisa dialokasikan untuk keperluan lain.",positive,neutral,positive,neutral
Wuling Confero mobil nyaman buat keluarga .,neutral,neutral,positive,neutral
"setelah ngeliat wuling almaz , ngeliat mobilio sama veloz jadi kayak sampah ..",neutral,neutral,negative,neutral
enak banget jalan-jalan pake ertiga gak kaya avanza yang bikin emosi .,neutral,neutral,negative,neutral
fortuner sparepart nya banyak dijual di mana-mana,neutral,neutral,neutral,positive
"Bengkel mobil Honda yang di Autoland kalau ada problem serius dan kelihatannya akan bebas dari biaya , mereka pasti menolak servis .",neutral,neutral,neutral,neutral
tampilan desain dasbor interior Avanza terlihat lebih mewah dan stylish,neutral,neutral,neutral,positive
Mending Calya harga stabil,neutral,neutral,neutral,neutral
Rush 2018 varian G AT irit bahan bakar .,positive,neutral,neutral,neutral
xenia lari nya lebih lincah daripada avanza yang agak lemah,neutral,negative,neutral,neutral
"Menurut saya veloz gak seindah itu om , gak ada nyaman-nyaman nya kalo dibandingin lawan2 nya .",neutral,neutral,negative,neutral
"dengan harga yang cukup ekonomis, style body dari calya termasuk elegan",neutral,neutral,neutral,positive
"Saya pakai karimun , adik saya pakai brio . memang karimun lebih nyaman walau lebih murah dari brio .",neutral,neutral,positive,neutral
"Mobil ini terlalu over price bos , untung menang merek",neutral,neutral,neutral,neutral
"Awal nya saya membeli motor pada tahun 2016 , alhamdulillah sampai sekarang motor saya masih irit dan tangguh di jalan",positive,positive,neutral,neutral
"saya sih mending xi irit sih beda tipis apalagi macet di kota-kota besar enggak berefek xi buat luar kota enak , tanjakan juga oke .",positive,neutral,positive,neutral
yang lebih menenangkan dari daihatsu terios adalah hemat bahan bakar .,positive,neutral,neutral,neutral
"keren juga xpander , serasa mobil masa depan",neutral,neutral,positive,neutral
#YamahaID Perawatan Motor Injeksi Yamaha Mudah dan Murah,neutral,neutral,neutral,neutral
brio kalo di ajak lari lincah banget tarikan juga halus,neutral,positive,neutral,neutral
Wah bengkel toyota pelayanan nya bagus banget nih . ini sih nunggu berjam-jam di bengkel juga gak bakal bosen kalo semuanya disediain di sini :D,neutral,neutral,neutral,neutral
mobilio lebih stabil tenaga nya saat digunakan berkendara daripada agya yang gak stabil,neutral,negative,neutral,neutral
"Sebelum ramadhan 2014 , saya ganti accu di bengkel honda Jakarta center , jayakarta . Belum setahun , sudah soak . Payah",neutral,neutral,neutral,neutral
xpander terlihat seperti mobil tahun 2020,neutral,neutral,positive,neutral
Avanza sangat mendukung profesi yang saya jalani karena bagi seorang mahasiswa seperti saya .,neutral,neutral,positive,neutral
Xpander bodi juga kaleng . Siapa bilang hanya rush doang yg kaleng,neutral,neutral,neutral,negative
scoopy kaya nya memang dibuat untuk anak muda yang oke pokoknya,neutral,neutral,positive,neutral
"Mungkin sudah 5 tahun saya pakai Kijang innova . Dalam pemakaian sehari-hari yang intens , mobil ini termasuk ramah perawatan .",neutral,neutral,neutral,neutral
enggak menyesal juga ambil mobil honda enggak kalah bandel irit tahan banting sudah pakai jazz,positive,positive,neutral,positive
"Honda Beat membuat saya semangat untuk bepergian jauh , apalagi perjalanan dekat , irit banget . Apalagi dengan bodi nya yang keren membuat saya jatuh cinta , mesin nya juga halus banget .",positive,positive,neutral,positive
Brio selalu lebih punya karakter kuat tersendiri . Sirion kayak ga punya jati diri,neutral,neutral,negative,neutral
lama banget nunggu inden xpander keburu saya jual ini mobil,neutral,neutral,neutral,neutral
Kalo Ada HRV prestige .. pasti juara disini,neutral,neutral,positive,neutral
brio manuver nya lincah abis kalo dibanding sama calya,neutral,negative,neutral,neutral
Xeli lumayan irit bbm 1:9 dalam kota ( belum pernah bawa ke luar kota ) .,positive,neutral,neutral,neutral
"gede banget nih kapasitas avanza, volume ruangan nya lengang",neutral,neutral,neutral,positive
selama ini pakai xexi lumayan irit,positive,neutral,neutral,neutral
after sales service yamaha selalu mengedepankan customer daripada untuk keuntungan sendiri,neutral,neutral,neutral,neutral
saya semakin yakin untuk pakai honda brio sebagai mobil sehari-hari karena menyenangkan untuk dikendarai .,neutral,neutral,positive,neutral
"Pas lihat tadi Suzuki Baleno 2017 ini di GIIAS lumayan banget buat harga segitu , murah .",neutral,neutral,neutral,neutral
"Saya naik mazda CX3 sehari-hari . performa mantap , mobil nyaman tidak seperti honda hrv yang cenderung goyang-goyang",neutral,neutral,negative,neutral
"kalau melihat spesifikasi nya, harga ertiga cukup ramah di kantong",neutral,neutral,neutral,neutral
jazz tenaga nya oke banget daripada brio kalah jauh,neutral,negative,neutral,neutral
brio gak bagus sumpah .,neutral,neutral,negative,neutral
Rush 2018 saya varian G AT suara mesin kasar .,neutral,negative,neutral,neutral
"Saya berombongan pakai xenia 1.0 , ternyata tenaga xenia 1.0 juga oke punya",neutral,positive,neutral,neutral
"saya pengguna xpander , saya coba di tanjakan-tanjakan dieng dengan penumpang 6 orang dewasa , oke-oke saja kok . Dan memang mantap ini mobil",neutral,neutral,positive,neutral
saya punya ertiga yang kalo ac udah nyala kaya gak ada ac nya tetap panas,neutral,neutral,neutral,negative
Tapi yang sangat jelek dari Freed adalah tarikan nya .,neutral,negative,neutral,neutral
Ignis ini city car paling terjangkau dengan poin-poin di atas,neutral,neutral,neutral,neutral
Pikiran lebih pilih li. mengincar irit nya yang super,positive,neutral,neutral,neutral
"Dari segi harga terlalu mahal , mengingat harga Sparepart Mitsubishi Xpander selangit .",neutral,neutral,neutral,neutral
berarti mesin Xenia terbukti bagus dan bandel + irit BBM,positive,positive,neutral,neutral
"Bagus banget sih Scoopy , cocok buat cewek pas banget . Mesin nya halus juga . ban nya lucu begitu .",neutral,positive,positive,positive
Calya tidak kalah dengan kualitas mobil-mobil mahal lainnya .,neutral,neutral,positive,neutral
"Sudah dua tahun saya memiliki motor Honda Beat ini , motor ini keseharian nya saya pergunakan untuk antar anak sekolah dan bekerja . Motor yang lumayan gesit , lincah dan irit BBM .",positive,positive,neutral,neutral
"Xenia Xi sporty kalau pas menghidupkan AC , suara mesin nya berisik banget",neutral,negative,neutral,neutral
semenjak saya pakai toyota calya dompet ku enggak lagi bocor alias bbm - nya irit banget . dan enggak sering mengisi bbm lagi .,positive,neutral,neutral,neutral
Altis gen 11 pas lah buat yang cari kenyamanan berkendara,neutral,neutral,positive,neutral
vario jauh lebih gesit daripada mio,neutral,negative,neutral,neutral
Masih nyaman Pajero karna Pajero lebih banyak peminat nya dari pada Fortuner,neutral,neutral,negative,neutral
semua Xe itu kopling nya keras,neutral,neutral,neutral,negative
avanza ini mobil saya yang paling bandel,neutral,positive,neutral,neutral
"saya menyesal beli mobilio, tetangga beli wuling cortez puas banget",neutral,neutral,positive,neutral
Li biru dlx harga jual nya pun tinggi . Beli tahun 2004 sekitar 80 jutaan dijual 2009 90 jutaan . Untung juragan .,neutral,neutral,neutral,neutral
agya mobil yang bagus dan keren gaya nya,neutral,neutral,positive,positive
Suara knalpot nya xpander bikin gue bahagia,neutral,positive,neutral,neutral
Enteng saat dikendarai . Enggak berat . Onderdil mudah dicari . Banyak konter-konter honda di deket rumah . Jadi enggak perlu jauh mencari tempat servis jauh-jauh .,neutral,neutral,positive,positive
Bengkel @Hondaarista Jatinegara not recommended . Payah . Sudah booking servis tapi disuruh mengantri .,neutral,neutral,neutral,neutral
"Beli beat fi buat harian , Tarikan nya nyaman , irit banget kalau dibuat kuliah . Harga oke .",positive,positive,neutral,neutral
Putaran bawah mesin fortuner sangat kuat,neutral,positive,neutral,neutral
@hondajazz_id pelayanan bengkel honda pluit jelek,neutral,neutral,neutral,neutral
avanza saya kopling nya memang agak keras juragan .,neutral,neutral,neutral,negative
Kenapa saya pilih pajero karena saya sering pulang kampung waktu lebaran dan jalan nya kebanyakan jelek dan tanjakan nya full curam belom di aspal,neutral,positive,neutral,neutral
Avanza bahan bakar nya yang irit .,positive,neutral,neutral,neutral
"Fortuner adalah mobil impian saya . Ini adalah suv mahal memang , tetapi sepadan .",neutral,neutral,neutral,neutral
"suka sekali sama agya, tarikan nya itu loh halus banget",neutral,positive,neutral,neutral
Kegoblokan Nissan di GL ini mesin enggak dikasih Knock Sensor ( cuma alat satu doang pelit banget ) .,neutral,negative,neutral,neutral
"Suka deh sama pilihan mobil avanza yang satu ini , tenaga bagus dan bandel",neutral,positive,neutral,neutral
"Vario ban sudah tubeless dan bensin yang irit ditambah bagasi yang lega , bikin hati gembira dan spirit bahagia .",positive,neutral,neutral,positive
Tidak ada yang bisa mengalahkan ketangguhan mesin Avanza .,neutral,positive,neutral,neutral
Hadeh toyota prado segala rusak . Emang kata abang gue perawatan mobil matic itu susah,neutral,neutral,neutral,neutral
semakin cantik saja nih avanza juragan,neutral,neutral,positive,neutral
alasan nya harga fortuner di bawah harga pajero,neutral,neutral,neutral,neutral
"Grand livina 2011 sampai sekarang enak lari , tapi suara pintu nya keras kalau ditutup .",neutral,positive,neutral,negative
menurut ane soal kenyamanan jelas all new pajero sport unggul jauh lebih nyaman dibandingkan all new fortuner yg sangat keras menurut ane,neutral,neutral,negative,neutral
jelek banget ini xenia li menesal saya beli,neutral,neutral,negative,neutral
"Duh ni bengkel mitsubishi , jelek kali sih . Kayak kandang saja bengkel nya .",neutral,neutral,neutral,neutral
Kaki-kaki HRV kayak enggak kokoh,neutral,neutral,neutral,negative
pilihan jatuh ke Xenia karena faktor harga dan servis Xenia pasti lebih murah hehe .,neutral,neutral,neutral,neutral
"konsumsi bahan bakar Honda mobilio tipe e cvt prestige cukup irit yaitu 14,2 km / liter dengan kecepatan 40 - 60 km / jam .",positive,neutral,neutral,neutral
"kalau melihat spesifikasi nya, harga ertiga lumayan overpriced",neutral,neutral,neutral,neutral
mesin wuling confero ini tidak berisik,neutral,negative,neutral,neutral
pakai new avanza bu . Boros bensin haha,negative,neutral,neutral,neutral
Karimun Wagon R sesuai kebutuhan & budget aja biar tetep bisa menikmati nya dan tidak menggangu kebutuhan lainnya,neutral,neutral,neutral,neutral
"ternyata GPS bawaan xenia nya enggak mengecewakan , anak-anak senang . Lumayan pintar lah , kalau saya bohongi rute nya dia tetap bisa kalkulasi ulang rute yang saya ambil .",neutral,neutral,neutral,positive
"Payah , Bengkel honda resmi ga becus ... di sini malah lebih tau .",neutral,neutral,neutral,neutral
"@DaihatsuInd Xenia itu kita banget ! Cocok diajak ke mana-mana , service gampang , harga terjangkau , mudah dipakai .",neutral,neutral,positive,neutral
Fortuner Mobil irit bahan bakar dan nyaman hanya menggunakan biosolar mobil berjalan dengan sempurna dan terbukti dari Jakarta sampai Surabaya dua kali isi solar dan itupun masih bisa dipakai keliling kota Surabaya .,positive,neutral,positive,neutral
udah delapan bulan baru jadi lama bener,neutral,neutral,neutral,neutral
Mesin bandel dan irit menjadi alasan banyak keluarga di Indonesia memilih Agya sebagai mobil pertama mereka,positive,positive,neutral,neutral
"Setelah penggunaan beberapa waktu, motor ini sangat nyaman, empuk sekali melewati jalanan rusak, seperti lempeng begitu saja tanpa ada guncangan yang berarti.",neutral,neutral,positive,neutral
kalau menurut gue suspensi avanza agak aneh . kalau cuma berdua suspensi nya berasa keras banget . tetapi kalau diisi penuh 6 - 7 orang suspensi nya mantap betul .,neutral,neutral,neutral,negative
xenia li cukup mumpuni kok sebagai mobil irit dan cukup bertenaga .,positive,positive,neutral,neutral
"Mending Calya lah Irit , suspensi nyaman , muat banyak , inline 4 Silinder dengan VVT - i technology bisa buat taksi daring",positive,neutral,neutral,positive
"Pengalaman pakai HRV 1.5 E , berisik shockbreaker pas di tol cikampek dan terbanting-banting kalau duduk di belakang",neutral,neutral,neutral,negative
"Yang saya enggak suka , kalau saya duduk di belakang , kepala mentok dengan atap dengan tinggi 183 cm . Duduk di posisi mengemudi , rambut saya kena plafon mobil jadi kurang nyaman .",neutral,neutral,neutral,negative
jarang-jarang loh ada after sales service yang sebagus nissan,neutral,neutral,neutral,neutral
nih xexi sering dipakai ke Tasikmalaya lewat Nagrek enggak ada masalah tuh .,neutral,neutral,positive,neutral
"Kijang kapsul luas tetapi boros bensin , avanza irit tetapi sempit , huh",positive,neutral,neutral,negative
Driver lebih nyaman dengan posisi perseneling yang unik. Terima kasih Sigra.,neutral,neutral,neutral,positive
akhirnya saya beli avanza karena bandel parah harga nya juga pas di kantong,neutral,positive,neutral,neutral
All New Toyota Kijang Innova G Diesel 2017 . Mesin bandel nan irit Otolovers .,positive,positive,neutral,neutral
Mending confero harga nya lebih murah daripada formo.,neutral,neutral,neutral,neutral
Gue lebih milih honda karena minim perawatan dan suku cadang yang awet dan murah,neutral,neutral,neutral,positive
ane tetep megang mobilio daripada avanza . . ga enak banget avanza .. rasa berkendara nya enakan mobilio ..,neutral,neutral,positive,neutral
"gue punya xenia xi , dasbor nabrak pohon , setelah dua hari diperbaiki di servis resmi daihatsu , langsung jadi kayak baru lagi , keren .",neutral,neutral,neutral,neutral
"Mitsubishi ini mobil yang perawatan nya gampang , enak banget",neutral,neutral,neutral,neutral
"kalau ada budget lebih pilih Xi saja , tarikan lebih enak dan bertenaga ,",neutral,positive,neutral,neutral
"Pada tahun 2017 saya beli beat , status saya pelajar jadi saya setiap hari pake ke sekolah jujur tarikan nya nyaman dan juga lincah tetapi yang disayangkan ground clearance - nya kurang tinggi",neutral,positive,neutral,negative
Pelayanan bengkel daihatsu bagus,neutral,neutral,neutral,neutral
Kenapa sekelas Fortuner belum ada sunroof nya ya,neutral,neutral,neutral,negative
Buat yang punya Avanza dan Xenia pasti sudah merasakan berisik nya suara di dalam kabin dan lemah nya bantingan mobil .,neutral,neutral,neutral,negative
pajero lah yg menang soal nya dia hemat karena solar Dan lebih nyaman,positive,neutral,positive,neutral
Kabin depan tengah dan belakang lebih lega dan nyaman PAJERO SPORT dibanding FORTUNER,neutral,neutral,neutral,negative
cooper kecil tetapi mahal,neutral,neutral,neutral,neutral
Saya memiliki motor Vespa sprint itu adalah motor yang saya pakai dari SMA saat masa-masa itu motor paling keren bagus dan ganteng deh pokok nya harga nya bersahabat,neutral,neutral,positive,neutral
"New Veloz saya rasa udah banyak improvement nya , terutama di bagian suspensi nya dibanding sebelumnya . Mental mentul , body roll , limbung sudah berkurang .",neutral,neutral,neutral,positive
Sayang enggak ada gps map - nya kayak versi yang lama . Padahal lumayan buat ke kondangan di pelosok yang susah sinyal . Screen mirror juga masa pakai kabel saja bisa nya,neutral,neutral,neutral,negative
"mantep juga nih ketahanan mesin mobil nya wuling confero L, auto banyak yang beli buat taksi online.",neutral,positive,neutral,neutral
Honda Beat luar biasa . Mesin nya bandel . Enggak pernah mogok sekalipun .,neutral,positive,positive,neutral
"Simpel cocok dijuluki untuk nya Honda beat makin bertambah gaya desain minimalis namun juara di kelas nya , bahan bakar juara nya hemat ramah dan bersahabat dengan saku maupun di dompet , sukses selalu Honda one Heart",positive,neutral,neutral,positive
Kalau rush banyak jeroan nya jadi berat tetapi stabil .,neutral,positive,neutral,negative
sampai saat ini tingkat kenyamanan calya tidak ada yang menandingi .,neutral,neutral,positive,neutral
Avanza sih harga nya murah nan ramah,neutral,neutral,neutral,neutral
@ivangreen_99 : Bengkel Honda no 1 dewi Sartika ga jamin puas servis nya .,neutral,neutral,neutral,neutral
brio bagus banget gak kaya mobil lama saya si calya jelek,neutral,neutral,negative,neutral
Ertiga terlalu lambat respons mesin nya .,neutral,negative,neutral,neutral
Saya juga pakai hrv om . impresi nya sangat luar biasa dan enak banget dikendarai baik dalam dan luar kota hrv terbaik,neutral,neutral,positive,neutral
